from,to,Sm-144,Sm-147,Sm-148,Sm-149,Sm-150,Sm-152,Sm-154
261.0666667,264,7.8291E-03,1.8607E+00,8.4509E-02,1.7403E+02,9.7560E-01,7.7806E+00,1.0336E-01
264,266.9333333,7.6241E-03,1.8138E+00,8.2228E-02,1.6947E+02,9.5054E-01,7.5682E+00,1.0061E-01
266.9333333,269.8666667,7.4270E-03,1.7654E+00,8.0035E-02,1.6509E+02,9.2544E-01,7.3518E+00,9.7898E-02
269.8666667,272.8,7.2377E-03,1.7181E+00,7.7941E-02,1.6087E+02,9.0010E-01,7.1219E+00,9.5361E-02
272.8,275.7333333,7.0589E-03,1.6745E+00,7.5832E-02,1.5704E+02,8.7733E-01,6.9645E+00,9.2861E-02
275.7333333,278.6666667,6.8771E-03,1.6316E+00,7.3925E-02,1.5312E+02,8.5500E-01,6.8021E+00,9.0563E-02
278.6666667,281.6,6.7005E-03,1.5893E+00,7.2020E-02,1.4950E+02,8.3340E-01,6.6286E+00,8.8263E-02
281.6,284.5333333,6.5198E-03,1.5475E+00,7.0116E-02,1.4544E+02,8.1130E-01,6.4601E+00,8.5977E-02
284.5333333,287.4666667,6.3493E-03,1.5077E+00,6.8179E-02,1.4165E+02,7.9084E-01,6.2996E+00,8.3529E-02
287.4666667,290.4,6.1832E-03,1.4662E+00,6.6403E-02,1.3814E+02,7.6974E-01,6.1287E+00,8.1389E-02
290.4,293.3333333,6.0223E-03,1.4277E+00,6.4635E-02,1.3461E+02,7.5023E-01,5.9667E+00,7.9259E-02
*,*,*,*,Apollo-15,*,*,*,*
0,5.166667,1.9497E-03,4.1609E-01,2.2504E-02,2.3512E+01,2.0056E-01,1.6150E+00,2.4746E-02
5.166667,10.333333,4.1298E-03,9.1560E-01,4.9134E-02,5.3335E+01,4.4381E-01,3.5373E+00,5.4266E-02
10.333333,15.5,6.1146E-03,1.3852E+00,7.4060E-02,8.1205E+01,6.7263E-01,5.3679E+00,8.1934E-02
15.5,20.666667,7.9899E-03,1.8398E+00,9.8252E-02,1.0841E+02,8.9407E-01,7.1487E+00,1.0892E-01
20.666667,25.833333,9.7331E-03,2.2756E+00,1.2119E-01,1.3457E+02,1.1054E+00,8.8340E+00,1.3459E-01
25.833333,31,1.1363E-02,2.6864E+00,1.4255E-01,1.6027E+02,1.3054E+00,1.0483E+01,1.5858E-01
31,36.166667,1.2853E-02,3.0742E+00,1.6245E-01,1.8458E+02,1.4947E+00,1.2022E+01,1.8107E-01
36.166667,41.333333,1.4208E-02,3.4340E+00,1.8070E-01,2.0792E+02,1.6737E+00,1.3400E+01,2.0187E-01
41.333333,46.5,1.5409E-02,3.7674E+00,1.9685E-01,2.2914E+02,1.8357E+00,1.4691E+01,2.2008E-01
46.5,51.666667,1.6480E-02,4.0715E+00,2.1143E-01,2.4905E+02,1.9859E+00,1.5944E+01,2.3684E-01
51.666667,56.833333,1.7410E-02,4.3325E+00,2.2384E-01,2.6749E+02,2.1150E+00,1.7009E+01,2.5125E-01
56.833333,62,1.8201E-02,4.5605E+00,2.3469E-01,2.8469E+02,2.2317E+00,1.7972E+01,2.6421E-01
62,67.166667,1.8875E-02,4.7644E+00,2.4352E-01,3.0030E+02,2.3330E+00,1.8821E+01,2.7483E-01
67.166667,72.333333,1.9417E-02,4.9318E+00,2.5060E-01,3.1358E+02,2.4207E+00,1.9567E+01,2.8339E-01
72.333333,77.5,1.9833E-02,5.0633E+00,2.5577E-01,3.2514E+02,2.4891E+00,2.0154E+01,2.8964E-01
77.5,82.666667,2.0137E-02,5.1687E+00,2.5971E-01,3.3474E+02,2.5420E+00,2.0601E+01,2.9479E-01
82.666667,87.833333,2.0343E-02,5.2415E+00,2.6213E-01,3.4317E+02,2.5799E+00,2.0944E+01,2.9824E-01
87.833333,93,2.0456E-02,5.2923E+00,2.6289E-01,3.4963E+02,2.6106E+00,2.1155E+01,2.9954E-01
93,98.166667,2.0499E-02,5.3187E+00,2.6278E-01,3.5530E+02,2.6258E+00,2.1379E+01,3.0047E-01
98.166667,103.333333,2.0431E-02,5.3176E+00,2.6162E-01,3.5840E+02,2.6270E+00,2.1386E+01,2.9991E-01
103.333333,108.5,2.0304E-02,5.2931E+00,2.5924E-01,3.6061E+02,2.6197E+00,2.1336E+01,2.9781E-01
108.5,113.666667,2.0130E-02,5.2555E+00,2.5619E-01,3.6173E+02,2.6068E+00,2.1270E+01,2.9498E-01
113.666667,118.833333,1.9912E-02,5.1953E+00,2.5179E-01,3.6146E+02,2.5819E+00,2.1019E+01,2.9048E-01
118.833333,124,1.9612E-02,5.1249E+00,2.4748E-01,3.5898E+02,2.5490E+00,2.0778E+01,2.8618E-01
124,129.166667,1.9278E-02,5.0421E+00,2.4244E-01,3.5652E+02,2.5140E+00,2.0490E+01,2.8106E-01
129.166667,134.333333,1.8893E-02,4.9436E+00,2.3670E-01,3.5234E+02,2.4652E+00,2.0090E+01,2.7475E-01
134.333333,139.5,1.8506E-02,4.8395E+00,2.3098E-01,3.4850E+02,2.4153E+00,1.9716E+01,2.6880E-01
139.5,144.666667,1.8069E-02,4.7251E+00,2.2471E-01,3.4272E+02,2.3602E+00,1.9334E+01,2.6183E-01
144.666667,149.833333,1.7620E-02,4.6075E+00,2.1823E-01,3.3694E+02,2.3055E+00,1.8893E+01,2.5473E-01
149.833333,155,1.7147E-02,4.4784E+00,2.1182E-01,3.3001E+02,2.2444E+00,1.8371E+01,2.4787E-01
155,160.166667,1.6664E-02,4.3456E+00,2.0489E-01,3.2287E+02,2.1789E+00,1.7884E+01,2.4006E-01
160.166667,165.333333,1.6184E-02,4.2125E+00,1.9820E-01,3.1584E+02,2.1147E+00,1.7316E+01,2.3254E-01
165.333333,170.5,1.5677E-02,4.0797E+00,1.9138E-01,3.0745E+02,2.0496E+00,1.6812E+01,2.2474E-01
170.5,175.666667,1.5168E-02,3.9490E+00,1.8458E-01,2.9894E+02,1.9861E+00,1.6300E+01,2.1705E-01
175.666667,180.833333,1.4661E-02,3.8176E+00,1.7776E-01,2.9029E+02,1.9211E+00,1.5760E+01,2.0932E-01
180.833333,186,1.4161E-02,3.6803E+00,1.7127E-01,2.8176E+02,1.8535E+00,1.5233E+01,2.0195E-01
186,191.166667,1.3669E-02,3.5468E+00,1.6491E-01,2.7319E+02,1.7895E+00,1.4644E+01,1.9456E-01
191.166667,196.333333,1.3180E-02,3.4141E+00,1.5853E-01,2.6431E+02,1.7229E+00,1.4144E+01,1.8734E-01
196.333333,201.5,1.2694E-02,3.2847E+00,1.5219E-01,2.5570E+02,1.6577E+00,1.3568E+01,1.8002E-01
201.5,206.666667,1.2217E-02,3.1578E+00,1.4615E-01,2.4717E+02,1.5977E+00,1.3118E+01,1.7306E-01
